model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,method,vocab_size,watermark_method,contam_level,prf_type
facebook-opt-125m,0.31314,0.326,0.0,0.5221,0.955,0.355,0.5175954198473282,0.8784361923847694,0.9392424849699399,0.20340681362725455,0.981884368737475,0.7434862925851704,0.8132304609218437,2.7755575615628914e-17,0.8454675350701403,0.00012659606009037815,3.600899863158702e-05,0.00017389167469445966,0.0,1.0,0.0,3.2672618505409083,WISER,50272,gumbel,med,skipgram
facebook-opt-125m,0.01045,0.0,0.0,0.07815000000000004,0.1901955128205128,0.13,0.15443949510014915,0.5909426853707415,0.6056312625250501,0.20340681362725455,0.8847172344689379,0.3909193587174349,0.403254509018036,2.7755575615628914e-17,0.6948370741482968,0.01029345437513257,0.009886517050017574,0.011420909049866168,0.165,0.8,0.035,3.5014282800023193,Aligator,50272,gumbel,med,skipgram
facebook-opt-125m,0.14504,0.0,0.0,0.7403500000000001,0.3475,0.081,0.1313768961493582,0.5265171943887776,0.5602124248496994,0.20340681362725455,0.8530757515030061,0.3583434468937876,0.40327054108216426,2.7755575615628914e-17,0.7219380761523045,0.07846595021494068,0.049289842326015784,0.08314434832345796,0.0,1.0,0.0,4.191658383026938,SeedBS,50272,gumbel,med,skipgram
facebook-opt-125m,0.24735999999999997,0.251,0.14935,0.3521,0.98,0.28300000000000003,0.4391765637371339,0.7959509018036073,0.7573507014028056,0.5723054108216433,0.9704190380761523,0.6505684168336674,0.6010340681362725,0.41803486973947895,0.8335082164328657,0.0017408908348988917,0.000946225323878025,0.0029149725969546125,0.0,1.0,0.0,3.6242240548840243,WaterSeeker,50272,gumbel,med,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.894,0.917,0.72565,0.96415,0.9775,0.39099999999999996,0.5585714285714285,0.5811312224448898,0.6266573146292584,0.3094545090180361,0.7247170340681363,0.5724540681362725,0.6185931863727455,0.30553747494989986,0.7121300601202405,0.0002578122349405021,0.00023845800023991615,0.00028480487453634855,0.0,1.0,0.0,3.0,Oracle,32000,gumbel,med,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.8351499999999998,0.86,0.40270000000000006,0.998,0.995,0.29800000000000004,0.4586388244392885,0.5087909018036072,0.533503006012024,0.20581963927855706,0.8551609218436874,0.4879488977955912,0.5043366733466934,0.20581963927855706,0.8328699398797595,0.00010652309976649121,5.9693350249290236e-05,0.00018195519887740375,0.0,1.0,0.0,3.566510900025402,WISER,32000,gumbel,med,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.00939,0.0,0.0,0.05025000000000006,0.14442038517038516,0.139,0.14165836043596722,0.5511856112224449,0.6254388777555111,0.20340681362725455,0.8577953907815631,0.35126797595190384,0.4220320641282565,2.7755575615628914e-17,0.6639735470941884,0.010274879155058442,0.009766615300850389,0.01104901425087519,0.245,0.67,0.085,4.41871021905714,Aligator,32000,gumbel,med,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.03641,0.0,0.0,0.5288500000000003,0.0875,0.019,0.031220657276995304,0.36589567134268547,0.20340681362725455,0.20340681362725455,0.7817979959919841,0.17160505010020038,2.7755575615628914e-17,2.7755575615628914e-17,0.6557607214428861,0.0790768232949631,0.06727295000036974,0.08330083989858394,0.0,1.0,0.0,4.619523784980439,SeedBS,32000,gumbel,med,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.28205,0.288,0.158,0.43220000000000003,1.0,0.35700000000000004,0.5261606484893148,0.7476190380761523,0.7742525050100201,0.4618783567134268,0.90632124248497,0.6230658917835671,0.6515711422845691,0.2971857715430862,0.8059613226452906,0.0015973681399555062,0.0006988940755945805,0.0029971419989124116,0.0,1.0,0.0,3.2764309850811753,WaterSeeker,32000,gumbel,med,skipgram
facebook-opt-125m,0.77346,0.822,0.1695,0.9380499999999999,0.985,0.39399999999999996,0.5628571428571427,0.6634627254509019,0.6902925851703408,0.41954468937875755,0.834867735470942,0.6353870941883768,0.6670501002004008,0.3928260521042084,0.7830899799599199,0.0002473024601022189,0.00022973749964876332,0.00027171210276719646,0.0,1.0,0.0,3.0,Oracle,50272,gumbel,high,skipgram
