model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,method,vocab_size,watermark_method
google/gemma-3-270m,0.774588266392788,0.7192156624554584,0.36363636363636365,0.9850704850622263,0.655,0.917,0.7641666666666667,0.9400122416966787,0.9549206882753101,0.8613996958783513,0.9943144377751101,0.9319577591036414,0.9481557422969188,0.8463824329731893,0.9942634333733493,0.007623738375004904,0.004917755923452205,0.05011977045014646,1.0,0.0,0.0,2.0,Kadane_8,262144,gumbel
google/gemma-3-270m,0.7890452133328687,0.8121585507737543,0.3794238683127572,0.9783835557468791,0.5172222222222221,0.931,0.6649999999999998,0.9458972100840336,0.9612813125250099,0.859385818327331,0.9868330212084834,0.9390189195678272,0.9567823929571829,0.8442626010404162,0.986618743497399,0.008953878979928049,0.006148898223682408,0.05031142775083027,1.0,0.0,0.0,4.0,Kadane_10,262144,gumbel
google/gemma-3-270m,0.8087068023733494,0.8808243968989146,0.36233040702314445,0.9638718033827859,0.34535714285714286,0.9670000000000001,0.5089473684210526,0.9482552765106044,0.9545746298519409,0.882993837535014,0.9762478191276511,0.9434054293717488,0.9535206082432973,0.8679337334933974,0.9761637294917968,0.014487863549993563,0.009065608001583314,0.05548119582413165,1.0,0.0,0.0,9.0,Kadane_15,262144,gumbel
google/gemma-3-270m,0.8306855505859579,0.868319203050139,0.4350547730829421,0.9430347360183011,0.2578947368421052,0.98,0.40833333333333327,0.9460218183273309,0.9469096438575431,0.9232983593437375,0.964292012805122,0.9435913661464587,0.9458500200080032,0.9132004801920769,0.9639787274909964,0.018516233109912718,0.01258805072566247,0.05982961322524716,1.0,0.0,0.0,14.0,Kadane_20,262144,gumbel
facebook/opt-1.3b,0.9654104008883226,0.9782393669634025,0.8668286723494855,0.9900304062935571,0.9969999999999999,0.9969999999999999,0.9969999999999999,0.9949815926370549,0.9969591036414567,0.9837403041216487,0.9986813925570228,0.9946551068427371,0.9969368547418969,0.981786986794718,0.9986769107643058,0.00517787354497159,0.0030245593749896214,0.008177995200912846,0.0,0.0,1.0,0.0,Oracle,50272,gumbel
facebook/opt-1.3b,0.9512823789139947,0.9731208957620181,0.8308326404134788,0.9900199600798403,0.8970654761904763,0.992,0.9421472824494348,0.9881325954381752,0.9952645058023208,0.9728683073229292,0.9987726290516207,0.9875843745498198,0.9951767907162865,0.970458575430172,0.9987710284113646,0.00018706645490055963,0.0001395468758801144,0.0002822170004037617,0.425,0.005,0.57,1.3416407864998738,WISER,50272,gumbel
facebook/opt-1.3b,0.7297957853358554,0.6830110158398082,0.5833161213122164,0.9850168469701273,0.8520000000000002,0.8520000000000002,0.8520000000000002,0.9055175174069628,0.8721440576230493,0.8661119647859143,0.9979101080432173,0.8942614421768706,0.8577775110044018,0.8512864425770308,0.9979044337735095,0.004131332695023957,0.0038605288505095814,0.004543170825036214,0.0,0.0,1.0,0.0,Kadane_6,50272,gumbel
facebook/opt-1.3b,0.8027863756898884,0.7966269841269842,0.6105422281418793,0.9841437403522975,0.6585714285714286,0.922,0.7683333333333334,0.9426957214885954,0.9626288915566226,0.8624966786714686,0.9950627130852341,0.9357013989595838,0.9583012404961986,0.8480723489395758,0.9950432973189276,0.007916350819969012,0.005222773301147754,0.0497239746737705,1.0,0.0,0.0,2.0,Kadane_8,50272,gumbel
facebook/opt-1.3b,0.8256518461506002,0.8805394990366089,0.5990147783251232,0.9791115242002288,0.5238888888888888,0.9430000000000001,0.6735714285714286,0.9504866106442578,0.9669576630652261,0.8596856342537015,0.9912849699879952,0.9451518943577432,0.9655183673469387,0.8448536214485795,0.9908642737094838,0.009385780034954223,0.006550018425514281,0.05330445312488337,1.0,0.0,0.0,4.0,Kadane_10,50272,gumbel
facebook/opt-1.3b,0.849592910046823,0.9065510597302505,0.6205194323659285,0.9599645003793111,0.34642857142857136,0.97,0.5105263157894736,0.9519444945978393,0.9567639855942377,0.8843847138855542,0.978463081232493,0.9486004337735093,0.9559502200880352,0.8697587755102041,0.9782666586634653,0.01536568918500052,0.010096627074699428,0.06046260487346444,1.0,0.0,0.0,9.0,Kadane_15,50272,gumbel
facebook/opt-1.3b,0.8498911271543085,0.872506052534866,0.6516127962839476,0.9478288630733749,0.25578947368421046,0.972,0.4049999999999999,0.946004331332533,0.9467436574629853,0.9221872589035615,0.966424649859944,0.9440691988795519,0.9460917166866746,0.9154709483793517,0.9663255702280913,0.019195608564969005,0.013603627750762825,0.06301842852512891,1.0,0.0,0.0,14.0,Kadane_20,50272,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.959873406703941,0.9762728099068545,0.7814105878915336,0.9900351893615367,0.99,0.99,0.99,0.9940228363345338,0.9967188475390156,0.9683814245698279,0.9985509323729491,0.9935794173669469,0.9966917967186875,0.9629458023209283,0.9985496598639456,0.005547244990066247,0.002990912898485476,0.008609274674745395,0.0,0.0,1.0,0.0,Oracle,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.9471219848559085,0.9700309381237524,0.7696236540378864,0.9910337662337663,0.8941448412698412,0.9880000000000001,0.9387323268687257,0.9908434861944778,0.9954618647458984,0.9528051220488195,0.9988048739495798,0.9902222184873949,0.9952102440976389,0.9462092036814725,0.9988039135654262,0.00018447044001732138,0.00013921249983468443,0.0002701058754155384,0.435,0.035,0.53,1.2786711852544421,WISER,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.7205122095190144,0.6803196803196803,0.4891031950333131,0.9851125762905086,0.8460000000000001,0.8460000000000001,0.8460000000000001,0.9037541208483393,0.8721090036014405,0.8595681472589036,0.99785899959984,0.8922267082833133,0.8576897959183674,0.8388203281312525,0.9978554861944778,0.004309261679973133,0.003942819475105353,0.004817664600204807,0.0,0.0,1.0,0.0,Kadane_6,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.7865935070985901,0.7712513198283562,0.5933901197604791,0.9811708702703339,0.6457142857142856,0.904,0.7533333333333333,0.9380688339335734,0.9605432573029211,0.8616629211684673,0.9971790316126451,0.9304110444177671,0.9556613045218088,0.8465696678671468,0.9971332533013205,0.007691677274988251,0.005216471550193091,0.04860778647639563,1.0,0.0,0.0,2.0,Kadane_8,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.8085673094483715,0.8586964906267972,0.561859877865676,0.9724681565539602,0.5161111111111111,0.929,0.6635714285714285,0.947818631452581,0.9669213285314127,0.8609268667466987,0.9916895078031213,0.9416481456582634,0.9656041616646659,0.845823881552621,0.9915638015206083,0.00944590016989423,0.006600849999131242,0.0502900972491716,1.0,0.0,0.0,4.0,Kadane_10,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.8255727139630474,0.8679314127727178,0.6055500495540139,0.9597502753005482,0.34357142857142864,0.9620000000000002,0.5063157894736843,0.952527943977591,0.9572593837535014,0.8973100600240096,0.9803147979191678,0.9482172501000399,0.9562048819527811,0.8828546458583434,0.9796679951980791,0.015732900384909952,0.010208526674387031,0.06020250032474906,1.0,0.0,0.0,9.0,Kadane_15,32000,gumbel
princeton-nlp/Sheared-LLaMA-1.3B,0.8413300735419965,0.8659321686445118,0.6111111111111112,0.941042416635089,0.2560526315789473,0.9730000000000001,0.4054166666666666,0.9466713981592636,0.9474146458583433,0.9199716846738696,0.9645671948779512,0.9444911900760303,0.9463583833533413,0.9072880592236895,0.9635517567026811,0.02039714243990602,0.013842692000616807,0.0630208007258716,1.0,0.0,0.0,14.0,Kadane_20,32000,gumbel
mistralai/Mistral-7B-v0.1,0.949225378300413,0.9739447568512488,0.7088939232048252,0.9900836001952358,0.996,0.996,0.996,0.9928050708283314,0.9964035214085634,0.956987362945178,0.9987329651860745,0.992112744297719,0.9963895958383353,0.9484708683473388,0.9987317086834735,0.00627459393488607,0.0030654135491658963,0.009706464924875232,0.0,0.0,1.0,0.0,Oracle,32000,gumbel
mistralai/Mistral-7B-v0.1,0.9129056394931743,0.938061876247505,0.6258278443113773,0.991025,0.8356036324786325,0.9940000000000001,0.9079453013093653,0.9880759455782314,0.9920220888355342,0.9522376870748299,0.9988540376150461,0.9869222761104441,0.9916440176070429,0.9432006642657064,0.9988527571028413,0.00021210796504419704,0.00015152012579164876,0.000345248575331425,0.58,0.02,0.4,2.0124611797498106,WISER,32000,gumbel
mistralai/Mistral-7B-v0.1,0.6977030250258077,0.6714713423942849,0.5148685833319716,0.9803580909680845,0.856,0.856,0.856,0.899212086434574,0.8716382553021209,0.8610085954381753,0.9976486274509804,0.8872746106442577,0.8571351740696278,0.8452909803921569,0.9976325010004001,0.004639830434944088,0.003988455925218659,0.005691463549374021,0.0,0.0,1.0,0.0,Kadane_6,32000,gumbel
