model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.6756930140146107,0.0,0.984251968503937,0.6924,0.7774,0.7324421826098789,0.8798194517034069,0.4188376753507014,0.9856993987975952,0.8141585442885771,0.1693386773547094,0.9856513026052104,0.07908447212980041,0.06790824584979305,0.08971361732505442,0.17,0.0592,0.7708,SeedBS_NOT,1000,500,0.30000000000000004,inverse
simulation,0.0003800514875893429,0.0,0.006211663860993395,0.0319,0.0358,0.033737666174298374,0.5887381178356713,0.4188376753507014,0.8259799599198396,0.33201701643286574,0.1693386773547094,0.5590380761523046,0.0007373223410028004,0.0006021218751016022,0.0011140681001620574,0.0186,0.499,0.4824,Waterseeker,1000,500,0.30000000000000004,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7415858004008016,0.4188376753507014,0.9155030060120241,0.48848460601202404,0.1693386773547094,0.6624448897795592,9.490878739875371e-05,4.032877500321775e-05,0.00017650937517714723,0.734,0.0312,0.2348,WISER,1000,500,0.4,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011432614179200936,0.01061618925010066,0.012724430200017876,0.0,1.0,0.0,Aligator,1000,500,0.4,inverse
simulation,0.6782472380503912,0.0,0.984251968503937,0.6942666666666666,0.778,0.7337522188009418,0.8804286204408818,0.4188376753507014,0.9856993987975952,0.8152041683366733,0.1693386773547094,0.9856513026052104,0.0791382128286024,0.06809386697493096,0.08984559030005242,0.1674,0.0594,0.7732,SeedBS_NOT,1000,500,0.4,inverse
simulation,0.0003552480945158781,0.0,0.0031746031746031746,0.0305,0.0338,0.032065318818040436,0.5879412665330661,0.4188376753507014,0.8243927855711423,0.3312164921843687,0.1693386773547094,0.5584849699398797,0.0007282225734014901,0.0006074517501019727,0.0011326705246233347,0.0196,0.5014,0.479,Waterseeker,1000,500,0.4,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7402196585170341,0.4188376753507014,0.9154068136272545,0.48715472224448897,0.1693386773547094,0.6618677354709419,9.272731519899936e-05,3.694544999461869e-05,0.00019551772501245042,0.7272,0.0334,0.2394,WISER,1000,500,0.5,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011496220332998654,0.010586516025068705,0.01306439935008825,0.0,1.0,0.0,Aligator,1000,500,0.5,inverse
simulation,0.6768501510458749,0.0,0.984251968503937,0.6966,0.7776,0.7348747252747252,0.8807113971943887,0.4188376753507014,0.9856993987975952,0.8151169394789578,0.1693386773547094,0.9856513026052104,0.07908560025179837,0.06781068124997773,0.0896871846999204,0.162,0.0602,0.7778,SeedBS_NOT,1000,500,0.5,inverse
simulation,0.0003864056928249023,0.0,0.006192914942661753,0.0323,0.0358,0.03396005873715125,0.5924728977955912,0.4188376753507014,0.8250615230460921,0.33556050501002,0.1693386773547094,0.5584849699398797,0.0007089975441988826,0.000568162824981755,0.0010850607999032032,0.0224,0.4898,0.4878,Waterseeker,1000,500,0.5,inverse
