model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type,gap
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.998484484484484,0.9984844844844843,0.9984844844844843,0.998484484484484,0.9984844844844843,0.9984844844844843,0.0001791337111997,0.0001367079499004,0.0003078403000927,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,110
simulation,0.91886910921094,0.8955223880597015,0.9375,0.99995,1.0,0.9999749993749844,0.9862970650650652,0.981967967967968,0.98987987987988,0.9860743443443444,0.9815815815815816,0.9897637637637638,0.0240383909785956,0.0223371177003627,0.0266288316248846,0.0002,0.0,0.9998,Aligator,1000,1000,1.0,gumbel,110
simulation,0.8367392742698204,0.0907335907335907,0.9801980198019802,0.9103599999999998,0.9468,0.928222498869241,0.9930426370370372,0.980356106106106,0.9969790790790792,0.9871248132132132,0.9443143143143145,0.996978978978979,0.2388072300601952,0.2302144069749147,0.2519032746755783,0.1976,0.0,0.8024,SeedBS_NOT,1000,1000,1.0,gumbel,110
simulation,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9896256256256256,0.9896256256256256,0.9896256256256256,0.9895115115115116,0.9895115115115116,0.9895115115115116,0.006646058340399,0.0062346239497173,0.0073212531242461,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,110
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9984644644644646,0.9984644644644644,0.9984644644644644,0.9984644644644646,0.9984644644644644,0.9984644644644644,0.0001843473522065,0.0001486649753132,0.000314392700011,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,120
simulation,0.9248019683811256,0.9036144578313252,0.9375,1.0,1.0,1.0,0.9876120584584585,0.984034034034034,0.9897717717717718,0.9874189193193194,0.9836796796796796,0.9896556556556556,0.0237044820804045,0.0217543645754858,0.0264754927247395,0.0,0.0,1.0,Aligator,1000,1000,1.0,gumbel,120
simulation,0.7607718438751092,0.0,0.9834437086092715,0.8523199999999999,0.9033333333333332,0.8770855294135514,0.978216383983984,0.5183183183183183,0.9975955955955956,0.9681894982982984,0.4885885885885885,0.9975955955955956,0.2400450428038026,0.2313924676999704,0.2533806339750071,0.2688,0.0306,0.7006,SeedBS_NOT,1000,1000,1.0,gumbel,120
simulation,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,1.0,0.990426426426426,0.9904264264264264,0.9904264264264264,0.9903303303303302,0.9903303303303304,0.9903303303303304,0.0066794505101932,0.0061252923249867,0.0074283684245529,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,120
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9984444444444448,0.9984444444444444,0.9984444444444444,0.9984444444444448,0.9984444444444444,0.9984444444444444,0.0001798542870026,0.0001513329998488,0.0002810954496453,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,130
simulation,0.9302596952479688,0.9090909090909092,0.9433962264150944,0.99725,1.0,0.9986231067718112,0.9879815947947947,0.9842842842842844,0.9905505505505504,0.987822163763764,0.984008008008008,0.9904584584584584,0.0234535212874054,0.0217324791744431,0.0256027399252843,0.011,0.0,0.989,Aligator,1000,1000,1.0,gumbel,130
simulation,0.8132045650044238,0.0286225402504472,0.9801980198019802,0.89575,0.9232666666666668,0.9093002079878324,0.9777044644644646,0.5146566566566566,0.9968988988988988,0.9703212376376378,0.4868188188188188,0.9968988988988988,0.2420187109003936,0.2332955906253118,0.2548082628250995,0.1984,0.0322,0.7694,SeedBS_NOT,1000,1000,1.0,gumbel,130
simulation,0.946372239747634,0.946372239747634,0.946372239747634,1.0,1.0,1.0,0.991029029029029,0.991029029029029,0.991029029029029,0.9909449449449448,0.9909449449449448,0.9909449449449448,0.0067838885125938,0.0062071639254099,0.0075197562500306,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,130
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9984244244244244,0.9984244244244244,0.9984244244244244,0.9984244244244244,0.9984244244244244,0.9984244244244244,0.0001809048004008,0.0001484169747527,0.000304105925602,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,140
