model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,seed,d
simulation 2B,0.7958827202979292,0.8723381138635375,0.0,0.9902912621359223,0.868,0.9615,0.9123607543044548,0.8792380667892157,0.8940410539215686,0.3378982843137255,0.994515931372549,0.8650637714460785,0.8916819852941176,0.17696078431372547,0.994515931372549,6.397632900643657e-05,2.52017508046265e-05,0.00018699999964155722,0.187,0.0385,0.7745,0.47486840282335063,1000,256,1234,1.0
simulation 2B,0.9684345238279763,0.9805825242718447,0.8802959501557632,1.0,0.9975,1.0,0.9987484355444306,0.9815002757352941,0.989093137254902,0.9237262561274511,1.0,0.9812106311274508,0.9890625000000001,0.9205093443627452,1.0,5.557819848763756e-05,3.4456975299690384e-05,0.0001526690734863223,0.005,0.0,0.995,0.07071067811865475,1000,256,1234,1.5
simulation 2B,0.9797684192650762,0.9902912621359223,0.9272560467055879,1.0,1.0,1.0,1.0,0.9884214154411763,0.994515931372549,0.9566145833333334,1.0,0.9883259650735292,0.994515931372549,0.9557567401960785,1.0,6.0363208009221126e-05,3.4791000825862287e-05,0.00017526042433928517,0.0,0.0,1.0,0.0,1000,256,1234,2.0
simulation 2B,0.9841543189282861,0.9902912621359223,0.9444314641744548,1.0,1.0,1.0,1.0,0.9909598805147056,0.994515931372549,0.9680116421568628,1.0,0.990910906862745,0.994515931372549,0.9675551470588235,1.0,6.091713351997896e-05,3.487499998300336e-05,0.00016625519988338052,0.0,0.0,1.0,0.0,1000,256,1234,2.5
simulation 2B,0.9859209843984524,0.9902912621359223,0.9532710280373832,1.0,1.0,1.0,1.0,0.9919775582107841,0.994515931372549,0.9729450061274509,1.0,0.99194134497549,0.994515931372549,0.9726386335784313,1.0,5.8646647010391465e-05,3.537500015227124e-05,0.00016736217567085972,0.0,0.0,1.0,0.0,1000,256,1234,3.0
simulation 2B,0.9872306621803222,0.9902912621359223,0.9537037037037037,1.0,1.0,1.0,1.0,0.9927409160539213,0.994515931372549,0.9731924019607843,1.0,0.9927156709558822,0.994515931372549,0.9730085784313725,1.0,6.718251899019378e-05,3.5582999771577306e-05,0.00017318052491646077,0.0,0.0,1.0,0.0,1000,256,1234,3.5
simulation 2B,0.9879115272309963,0.9902912621359223,0.9622641509433962,1.0,1.0,1.0,1.0,0.9931318933823527,0.994515931372549,0.9784313725490196,1.0,0.9931089920343136,0.994515931372549,0.9783394607843137,1.0,6.115312247402471e-05,3.5541974739317084e-05,0.00016925207410167786,0.0,0.0,1.0,0.0,1000,256,1234,4.0
simulation 2B,0.9884428057367757,0.9902912621359223,0.9714285714285714,1.0,1.0,1.0,1.0,0.9934312193627449,0.994515931372549,0.9837316176470589,1.0,0.9934061427696076,0.994515931372549,0.9836397058823529,1.0,5.944251899836672e-05,3.4208973875138324e-05,0.00016723919843570896,0.0,0.0,1.0,0.0,1000,256,1234,4.5
simulation 2B,0.9887580686148361,0.9902912621359223,0.9714285714285714,1.0,1.0,1.0,1.0,0.9936159313725488,0.994515931372549,0.9837316176470589,1.0,0.9935951746323528,0.994515931372549,0.9837009803921569,1.0,6.00018819759498e-05,3.4333974826949995e-05,0.00017571314947417702,0.0,0.0,1.0,0.0,1000,256,1234,5.0
simulation 2B,0.07996628030783307,0.0,0.0,0.4952515243902436,0.1835,0.188,0.18572274562584118,0.4202220791034737,0.33878883317025443,0.33878883317025443,0.7904207054182972,0.28024505412182005,0.1789460004892368,0.1789460004892368,0.752071612035225,4.997642049511342e-05,2.0623975615308154e-05,0.00014359062447510902,0.009,0.812,0.179,0.9060905032059435,1000,512,1234,0.5
simulation 2B,0.9439358583359888,0.9714285714285714,0.7268292682926829,1.0,0.8749166666666668,1.0,0.9332859238188365,0.9505679542257829,0.973290728962818,0.8432533099926615,0.9972709760273972,0.9492952161815069,0.9729773116438356,0.8380119786570449,0.9972709760273972,8.613071447507537e-05,4.9000000217347406e-05,0.00021141704974070308,0.249,0.0,0.751,0.5094114250780012,1000,512,1234,1.0
simulation 2B,0.9835878680333633,0.9902439024390244,0.9318181818181818,1.0,1.0,1.0,1.0,0.9906632636680529,0.9945419520547946,0.9603387582558709,1.0,0.9905794589346869,0.9945343077299413,0.9595361041462819,1.0,8.463486550317612e-05,4.704094999397057e-05,0.00019909237553292764,0.0,0.0,1.0,0.0,1000,512,1234,1.5
simulation 2B,0.9886971840496621,0.9951219512195122,0.9532710280373832,1.0,1.0,1.0,1.0,0.993595676369863,0.997263331702544,0.9731198783023484,1.0,0.9935585861056752,0.997263331702544,0.9727758836839531,1.0,7.851986798959842e-05,4.808197359125188e-05,0.0001868771004865266,0.0,0.0,1.0,0.0,1000,512,1234,2.0
simulation 2B,0.9914812905514454,0.9951219512195122,0.9714251537935749,1.0,1.0,1.0,1.0,0.995186521526419,0.997263331702544,0.9837022994129159,1.0,0.995167769997554,0.997263331702544,0.9835876345401174,1.0,8.23969174771264e-05,4.600000102072954e-05,0.00019320802448419272,0.0,0.0,1.0,0.0,1000,512,1234,2.5
simulation 2B,0.9930587766234368,0.9951219512195122,0.9760765550239234,1.0,1.0,1.0,1.0,0.9960884792380139,0.997263331702544,0.9864695450097848,1.0,0.9960798564395794,0.997263331702544,0.9864236790606654,1.0,7.796675600002345e-05,4.7248976397895606e-05,0.00018339687435400253,0.0,0.0,1.0,0.0,1000,512,1234,3.0
simulation 2B,0.99381247833894,0.9951219512195122,0.9807692307692307,1.0,1.0,1.0,1.0,0.9965165079195208,0.997263331702544,0.9891450587084148,1.0,0.9965109657840021,0.997263331702544,0.9890991927592955,1.0,8.145089700065e-05,4.7123975446083935e-05,0.00019787812557297,0.0,0.0,1.0,0.0,1000,512,1234,3.5
simulation 2B,0.9942078216572431,0.9951219512195122,0.9855072463768116,1.0,1.0,1.0,1.0,0.9967408115215267,0.997263331702544,0.9918358610567515,1.0,0.9967363969239238,0.997263331702544,0.9918282167318982,1.0,7.905929797834687e-05,4.7916000767145306e-05,0.00019086002498625007,0.0,0.0,1.0,0.0,1000,512,1234,4.0
simulation 2B,0.9944399303562566,0.9951219512195122,0.9855072463768116,1.0,1.0,1.0,1.0,0.9968730698079749,0.997263331702544,0.9918358610567515,1.0,0.9968694502201567,0.997263331702544,0.9918282167318982,1.0,8.317789598731907e-05,4.529100078798365e-05,0.00020175519916847403,0.0,0.0,1.0,0.0,1000,512,1234,4.5
simulation 2B,0.9945827702532903,0.9951219512195122,0.9855072463768116,1.0,1.0,1.0,1.0,0.9969543977800883,0.997263331702544,0.9918358610567515,1.0,0.9969511489420256,0.997263331702544,0.9918282167318982,1.0,8.066119700470154e-05,4.6998974539746996e-05,0.00018803957495947522,0.0,0.0,1.0,0.0,1000,512,1234,5.0
simulation 2B,0.18786344993197274,0.19070904645476772,0.0,0.6601466992665037,0.4556666666666666,0.5075,0.48018861394704965,0.553492660030242,0.7152045912756598,0.33923852944770283,0.8521704889112902,0.4416134989002932,0.6200980953690127,0.17994142534213098,0.8288478280791788,8.432803199411864e-05,3.2331973716281934e-05,0.0002222697756224078,0.1025,0.4925,0.405,0.778138805098422,1000,1024,1234,0.5
simulation 2B,0.980966189230199,0.9878934624697336,0.9024330610054268,1.0,0.9453333333333332,1.0,0.971898560657985,0.9808492771719208,0.9918552969208211,0.9037647295790567,1.0,0.9807196492393696,0.9918342955767351,0.9033039409976784,1.0,0.00011911306748515926,7.466594938705384e-05,0.00025879510076265433,0.109,0.0,0.891,0.3346640106136302,1000,1024,1234,1.0
simulation 2B,0.9917746606103117,0.9951100244498777,0.9667695944737548,1.0,1.0,1.0,1.0,0.9953666796493158,0.9972698252688172,0.9809198015945748,1.0,0.9953451924104961,0.9972679160557185,0.9807460632025905,1.0,0.00011501177148693387,7.174894885793037e-05,0.00024216809924837435,0.0,0.0,1.0,0.0,1000,1024,1234,1.5
simulation 2B,0.9945796670933297,0.9975550122249389,0.9784172661870504,1.0,1.0,1.0,1.0,0.9969544709952346,0.9986330034213099,0.9878344941348973,1.0,0.9969456074734238,0.9986330034213099,0.987778792842742,1.0,0.00011517490548430942,7.453892480953072e-05,0.00022752227646378684,0.0,0.0,1.0,0.0,1000,1024,1234,2.0
simulation 2B,0.9959089166982803,0.9975550122249389,0.9831730769230769,1.0,1.0,1.0,1.0,0.9977053673707844,0.9986330034213099,0.9905242412787145,1.0,0.9977013351127199,0.9986330034213099,0.990484434185606,1.0,0.00011781708349280962,7.229197626656969e-05,0.00024380552431466632,0.0,0.0,1.0,0.0,1000,1024,1234,2.5
