model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,watermark_type,seed,gap,gap_prop
simulation 3,0.8430870613675338,0.8562687125748503,0.5947712418300654,0.9423076923076923,1.0,0.9855,0.9926970536388819,0.9736933937744618,0.9786761558219179,0.871624266144814,0.991722342832681,0.9724783054060666,0.9780913649706459,0.8616059962084148,0.991599269202544,0.0001438153405470075,9.425000089322567e-05,0.00030160795104166015,0.0,0.0435,0.9565,0.2085665361461421,1000,512,gumbel,1234,42,0.6000000000000002
simulation 3,0.834273195301259,0.8653846153846154,0.5519067470990549,0.9423076923076923,1.0,0.963,0.9811512990320936,0.96615795086228,0.9794061888454012,0.8525019875244618,0.9915377323874756,0.96442916768591,0.978832864481409,0.8423400042808219,0.9914696978962818,0.00012591957499898853,7.499687490053475e-05,0.00028585382578967246,0.0,0.1085,0.9455,0.34058772731852804,1000,512,gumbel,1234,58,0.6500000000000001
simulation 3,0.8076636466892808,0.8403637419682723,0.5324415584415584,0.9363158106909618,1.0,0.9528333333333333,0.9758470598276009,0.9573528773238748,0.974609375,0.8404010212818004,0.9899104467343444,0.9550720018957926,0.9738143652152642,0.8295231470156555,0.9897967374021526,0.00013238790150899149,7.579197381346603e-05,0.00030204617578419855,0.0,0.1345,0.9655,0.39433488306260706,1000,512,gumbel,1234,79,0.7000000000000002
simulation 3,0.8082110831907198,0.8475609756097561,0.5389485514485515,0.9354838709677419,1.0,0.9468333333333333,0.9726906942898725,0.9553704783818492,0.9741545376712328,0.8463181109344423,0.9891611117906066,0.9530005236362524,0.9734130381604696,0.835773338123777,0.9890535179182974,0.0001390164374588494,8.362500011571683e-05,0.00030258924743975507,0.0,0.156,0.9715,0.4080441152620633,1000,512,gumbel,1234,108,0.7500000000000002
simulation 3,0.8682524838615355,0.8782051282051282,0.7304983406680614,0.9477124183006536,1.0,0.9935,0.9967394030599448,0.9713461426736791,0.9752706090998043,0.9440185069104697,0.9896230201198629,0.9705685046171723,0.9747737279843445,0.9416808723703523,0.9895471501956946,0.00013614368898743124,9.049895152202225e-05,0.0002983812482852954,0.0,0.0195,0.9805,0.1396424004376894,1000,512,gumbel,1234,147,0.8000000000000003
simulation 3,0.8632732321768337,0.8717948717948718,0.7318783564381166,0.9426842296218656,1.0,0.9936666666666666,0.9968232737000502,0.9709244855369374,0.9746208414872799,0.9420246758806262,0.9900394447162426,0.9701061376284247,0.9742156922700587,0.9400283604452054,0.9899557393590998,0.00013862161794895656,8.449584947811672e-05,0.00030018782254046515,0.0,0.019,0.981,0.13784048752090222,1000,512,gumbel,1234,154,0.8500000000000003
simulation 3,0.8632732321768337,0.8717948717948718,0.7318783564381166,0.9426842296218656,1.0,0.9936666666666666,0.9968232737000502,0.9709244855369374,0.9746208414872799,0.9420246758806262,0.9900394447162426,0.9701061376284247,0.9742156922700587,0.9400283604452054,0.9899557393590998,0.00014483283505251166,9.799894687603227e-05,0.00031100727837838347,0.0,0.019,0.981,0.13784048752090222,1000,512,gumbel,1234,154,0.9000000000000002
simulation 3,0.8632732321768337,0.8717948717948718,0.7318783564381166,0.9426842296218656,1.0,0.9936666666666666,0.9968232737000502,0.9709244855369374,0.9746208414872799,0.9420246758806262,0.9900394447162426,0.9701061376284247,0.9742156922700587,0.9400283604452054,0.9899557393590998,0.00013032956848292089,8.383197300645406e-05,0.00027813710039481494,0.0,0.019,0.981,0.13784048752090222,1000,512,gumbel,1234,154,0.9500000000000003
simulation 3,0.8632732321768337,0.8717948717948718,0.7318783564381166,0.9426842296218656,1.0,0.9936666666666666,0.9968232737000502,0.9709244855369374,0.9746208414872799,0.9420246758806262,0.9900394447162426,0.9701061376284247,0.9742156922700587,0.9400283604452054,0.9899557393590998,0.00013341024201145047,8.508085065841441e-05,0.00030706977704539855,0.0,0.019,0.981,0.13784048752090222,1000,512,gumbel,1234,154,1.0000000000000002
simulation 3,0.8632732321768337,0.8717948717948718,0.7318783564381166,0.9426842296218656,1.0,0.9936666666666666,0.9968232737000502,0.9709244855369374,0.9746208414872799,0.9420246758806262,0.9900394447162426,0.9701061376284247,0.9742156922700587,0.9400283604452054,0.9899557393590998,0.0001461838229515706,9.483292706136126e-05,0.0003170711486745857,0.0,0.019,0.981,0.13784048752090222,1000,512,gumbel,1234,154,1.0500000000000003
simulation 3,0.9575681391204487,0.9678456591639871,0.8745980707395499,0.9839743589743589,1.0,0.3549999999999999,0.5239852398523984,0.9357373543270406,0.9348729227761485,0.9237002077223851,0.9727326185239492,0.9356078438110949,0.9348328293010753,0.9229684540719697,0.9725590710532748,0.00011817650050397788,7.320072572838398e-05,0.00024876355228116144,0.0,1.0,0.0,1.950640920313116,1000,1024,gumbel,1234,2,0.1
simulation 3,0.9540316409109016,0.9680511182108626,0.8753993610223643,0.9776357827476039,1.0,0.3553333333333333,0.5243482538121003,0.9350672587136486,0.9346113605816226,0.9226100470430108,0.9741922119379277,0.9349259435331133,0.9345789039589443,0.9219055474095796,0.9739813870815005,0.00011975468652053678,7.579094881293713e-05,0.00024458299958496355,0.0,1.0,0.0,1.9498717906570164,1000,1024,gumbel,1234,3,0.15000000000000002
simulation 3,0.9438779750621354,0.9587301587301588,0.8666666666666667,0.9683544303797469,1.0,0.3578333333333333,0.5270651773659015,0.9337151434964565,0.9329885294477028,0.9210196725317693,0.9731687782563538,0.9335385326933652,0.9329274346285434,0.9201425323038857,0.9730938893725563,0.00012120802157733124,7.578997337986948e-05,0.00025254407364627696,0.0,0.9995,0.0005,1.944350791395421,1000,1024,gumbel,1234,4,0.20000000000000004
simulation 3,0.9351545181551223,0.9467084639498433,0.8589341692789969,0.9592476489028213,1.0,0.36416666666666664,0.5339034819792302,0.932786859268084,0.9306726539589443,0.9193687759652982,0.9729804343841643,0.9325539314516129,0.9305351906158358,0.9184124988544722,0.9728316112231183,0.00012255560500489083,7.537397414125735e-05,0.00025859550069071694,0.0,0.9995,0.0005,1.929637271613502,1000,1024,gumbel,1234,6,0.25000000000000006
