model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,vocab_size,output_tokens,watermark_type,seed,delta
simulation 2,0.006341463414634147,0.0,0.0,0.0,0.02,0.02,0.02,0.34701985995596885,0.33878883317025443,0.33878883317025443,0.33878883317025443,0.18887704867906074,0.1789460004892368,0.1789460004892368,0.1789460004892368,3.422747003241966e-05,1.6661949962326618e-05,7.691857512099886e-05,0.0,0.98,0.02,1000,512,partial,1234,1.5
simulation 2,0.07453182308522115,0.0,0.0,0.45184281842818413,0.2,0.2,0.20000000000000004,0.42317377079256374,0.33878883317025443,0.33878883317025443,0.7806361607142857,0.28261688172700594,0.1789460004892368,0.1789460004892368,0.7324585677592954,4.360252000424225e-05,1.9325174957884882e-05,9.580120009786692e-05,0.0,0.8,0.2,1000,512,partial,1234,2.0
simulation 2,0.3804603934764077,0.4170731707317073,0.0,0.9239024390243895,0.6016666666666667,0.7,0.6471190781049935,0.662426461594912,0.7680864726027397,0.33878883317025443,0.9003799229452054,0.5875730033023482,0.7110598091976517,0.1789460004892368,0.8981542777641878,6.788330998006131e-05,2.3357624763775674e-05,0.0001488737999238765,0.19,0.3,0.51,1000,512,partial,1234,2.5
simulation 2,0.812811621780735,0.8647683510327926,0.43646341463414634,0.9902439024390244,0.7183333333333334,1.0,0.8360814742967994,0.8759740398727983,0.8770142795988258,0.7747077956824854,0.9878741897015656,0.8665502690802349,0.8737998409980431,0.7268973214285714,0.9878283237524462,8.778795001035178e-05,4.234460000134277e-05,0.00023303712492861445,0.55,0.0,0.45,1000,512,partial,1234,3.0
simulation 2,0.9508636134882409,0.9757867829839126,0.7792682926829269,0.9951219512195122,0.81,1.0,0.8950276243093923,0.9442871667074364,0.9466579011741683,0.8720349574975539,0.997263331702544,0.9432375244618396,0.9455265410958904,0.8677923572040118,0.997263331702544,8.228504000726389e-05,4.3920299856381464e-05,0.00020504669981846743,0.38,0.0,0.62,1000,512,partial,1234,3.5
simulation 2,0.03791044884964498,0.0,0.0,0.3411369193154034,0.125,0.13,0.12745098039215685,0.3929164566532259,0.33923852944770283,0.33923852944770283,0.7600265189699412,0.2437378574046921,0.17994142534213098,0.17994142534213098,0.6872538069709188,5.834671000684466e-05,2.7088350077519862e-05,0.00012822115012340842,0.01,0.87,0.12,1000,1024,partial,1234,1.5
simulation 2,0.3420665903140621,0.3243921736595696,0.0,0.7877392700385895,0.5733333333333333,0.74,0.6460913705583756,0.6676944724462364,0.7518051609848485,0.33923852944770283,0.8706341069464809,0.5886110474706744,0.6797991889662756,0.17994142534213098,0.8618248067876344,0.00010612710999339469,2.64791501081163e-05,0.0002478388749636906,0.32,0.26,0.42,1000,1024,partial,1234,2.0
simulation 2,0.8109683255226997,0.8606356968215159,0.3411369193154034,0.9890869368645857,0.5241666666666667,1.0,0.6878075451066157,0.8672301136363635,0.873269298326002,0.7523036087945992,0.9858348797959433,0.8577207814027371,0.8686480480205279,0.6829429469849707,0.985760945518695,0.00014041832001112197,7.856010000750757e-05,0.00032688180004925005,0.85,0.0,0.15,1000,1024,partial,1234,2.5
simulation 2,0.9590415082088076,0.9782320047729904,0.8457212713936431,0.9975609756097561,0.815,1.0,0.8980716253443526,0.951631689882698,0.9713150277981427,0.8592341955339687,0.9986340057581867,0.9509099691471162,0.9709866431451613,0.8563996823069403,0.9986340057581867,0.00010821120996752142,6.476994988133811e-05,0.00020475192503681668,0.36,0.0,0.64,1000,1024,partial,1234,3.0
simulation 2,0.9855018820642799,0.9902319756693899,0.941579248366013,1.0,0.98,1.0,0.98989898989899,0.9887164360337242,0.9945549242424242,0.9214877638532503,1.0,0.9886534320014663,0.9945444235703812,0.9214783132484116,1.0,0.00010739876999650733,6.172290021595472e-05,0.00026896784999053114,0.04,0.0,0.96,1000,1024,partial,1234,3.5
simulation 2,0.11827205198596862,0.1385836385836386,0.0,0.4278021533482691,0.4833333333333333,0.53,0.5055921052631579,0.5494949163409868,0.699856831262213,0.3396581697300928,0.8265610091559293,0.42246639518197354,0.5860422168875183,0.179853520395701,0.7690838536577915,0.00010055420996195608,4.849392485084536e-05,0.0002201619500965534,0.09,0.47,0.44,1000,2048,partial,1234,1.5
simulation 2,0.6180747009251736,0.6471306471306472,0.09221611721611724,0.9420641485157614,0.44083333333333335,0.97,0.6061783815711754,0.8166288604512698,0.8364532127808989,0.5212106202483818,0.8988086724665668,0.7866420514396067,0.8199029353169272,0.39269899071049097,0.8920984310118464,0.00019970999000634037,0.00010999567497265162,0.00036779550006258376,0.88,0.03,0.09,1000,2048,partial,1234,2.0
simulation 2,0.9529054241318711,0.981883397344357,0.7993159787367105,0.9987789987789988,0.5316666666666667,1.0,0.6942328618063113,0.9158706767907303,0.9122436702338789,0.8511268992160784,0.9979864779250122,0.9150798901593796,0.911804050134343,0.8427036421439912,0.9979853448835185,0.00018982379000135553,0.00011256737493567926,0.00034163767503514453,0.81,0.0,0.19,1000,2048,partial,1234,2.5
simulation 2,0.9893841416689061,0.9927184466019418,0.9618421943499382,0.998780487804878,0.95,1.0,0.9743589743589743,0.9866664010976429,0.9952333540699805,0.90948232884633,0.9993166090047936,0.9866398807706398,0.9952269136235955,0.9094258318194308,0.9993166090047936,0.00013913164000769028,9.102445012558747e-05,0.0003199558999085637,0.1,0.0,0.9,1000,2048,partial,1234,3.0
