model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,vocab_size,output_tokens,watermark_type,seed,ar_coeff
simulation 1,0.6961923513800248,0.7387959866220736,0.24397843137254902,0.9880952380952381,0.650625,0.9785,0.7815687101971917,0.777859755511022,0.7970260521042084,0.604858517034068,0.9334637274549097,0.7430297915831663,0.7761362725450902,0.46395991983967927,0.9314222444889779,0.00010505995805397106,4.533197443379322e-05,0.00025805174955166826,0.6205,0.0215,0.358,1000,500,redgreen,1234,0.30000000000000004
simulation 1,0.9791504843693054,0.98,0.9538000000000001,0.996,0.99925,1.0,0.9996248593222459,0.9839689138276554,0.9857234468937875,0.9637543086172344,0.9964008016032064,0.9838495270541082,0.9856513026052104,0.9631342685370741,0.9964008016032064,8.550432304218702e-05,4.699897626778693e-05,0.0001989524013879416,0.0015,0.0,0.9985,1000,500,pf,1234,0.30000000000000004
simulation 1,0.9916545611393066,0.996,0.968,0.9960159362549801,1.0,1.0,1.0,0.9929293587174348,0.9964008016032064,0.9728016032064128,0.9976032064128256,0.9929075511022045,0.9964008016032064,0.9726332665330661,0.9976032064128256,8.09353579825256e-05,4.733300011139363e-05,0.00017780970056264768,0.0,0.0,1.0,1000,500,gumbel,1234,0.4
simulation 1,0.9585696036664464,0.9652509652509652,0.8355566289291121,0.996,0.90125,1.0,0.9480604865220249,0.9568164569138278,0.97025250501002,0.8738352705410821,0.9964008016032064,0.9560126533066133,0.9699639278557114,0.8676350701402805,0.9964008016032064,8.291491150521324e-05,4.6373946679523216e-05,0.00020016704957015463,0.1965,0.0,0.8035,1000,500,inverse,1234,0.4
simulation 1,0.8357424617105517,0.8725099601593626,0.408,0.996,0.662125,0.999,0.796403491609602,0.8360980320641284,0.8321603206412825,0.670541482965932,0.9928186372745491,0.8233170901803608,0.8247975951903808,0.6075008016032065,0.9928102204408819,0.00010286303947214037,4.962499951943755e-05,0.0002488454246304172,0.6395,0.001,0.3595,1000,500,redgreen,1234,0.4
simulation 1,0.9847082467618884,0.988,0.964,0.996,1.0,1.0,1.0,0.9882993507014027,0.990436873747495,0.9704769539078156,0.9964008016032064,0.9882341643286575,0.9904128256513026,0.970188376753507,0.9964008016032064,8.093059894054022e-05,4.620697736754664e-05,0.00018441802512825234,0.0,0.0,1.0,1000,500,pf,1234,0.4
simulation 1,0.993852129787099,0.996,0.98,0.996,1.0,1.0,1.0,0.9947430821643287,0.9964008016032064,0.9821643286573146,0.9964008016032064,0.9947346653306613,0.9964008016032064,0.9820841683366733,0.9964008016032064,8.1068707502709e-05,4.787500074598938e-05,0.00017416145165043397,0.0,0.0,1.0,1000,500,gumbel,1234,0.5
simulation 1,0.9643876738090985,0.9689922480620154,0.8741258741258742,0.996,0.9146666666666667,1.0,0.9554317548746518,0.9622857474949899,0.9704769539078156,0.8793539078156313,0.9964008016032064,0.9617464368737476,0.9703006012024048,0.8758396793587174,0.9964008016032064,8.19869075112365e-05,4.645799708669074e-05,0.0002088361501591862,0.17,0.0,0.83,1000,500,inverse,1234,0.5
simulation 1,0.9064826861383799,0.9484126984126984,0.596,0.996,0.6960416666666667,1.0,0.8207836875076772,0.873162997995992,0.8575591182364729,0.7343426853707415,0.9964008016032064,0.8680924168336673,0.8565130260521041,0.7108412825651301,0.9964008016032064,9.987020352673426e-05,4.754200199386105e-05,0.00023105559830582925,0.5815,0.0,0.4185,1000,500,redgreen,1234,0.5
simulation 1,0.9892136608865583,0.992,0.972,0.996,1.0,1.0,1.0,0.9915755511022044,0.9928176352705411,0.9786533066132265,0.9964008016032064,0.9915457114228456,0.992809619238477,0.9784849699398798,0.9964008016032064,8.611703852147911e-05,4.662292349166819e-05,0.00020453750012165963,0.0,0.0,1.0,1000,500,pf,1234,0.5
simulation 1,0.9950747223893186,0.996,0.988,0.996,1.0,1.0,1.0,0.9957119919839679,0.9964008016032064,0.989250501002004,0.9964008016032064,0.9957091663326653,0.9964008016032064,0.9892264529058116,0.9964008016032064,8.514088704032474e-05,4.9041998863685876e-05,0.00020390207400851053,0.0,0.0,1.0,1000,500,gumbel,1234,0.6000000000000001
simulation 1,0.9685190000335883,0.9689922480620154,0.8896797153024911,0.996,0.9209166666666667,1.0,0.9588304195045768,0.965631498997996,0.972689378757515,0.8866052104208417,0.9964008016032064,0.9652548937875752,0.9724649298597194,0.8859777555110221,0.9964008016032064,7.929193001291424e-05,4.4583000999409705e-05,0.00018409232634439827,0.158,0.0,0.842,1000,500,inverse,1234,0.6000000000000001
simulation 1,0.9410898371924372,0.9761904761904762,0.7,0.9960159362549801,0.7619166666666666,1.0,0.8648725346450361,0.9050331102204409,0.8875591182364729,0.7697715430861723,0.9964008016032064,0.902506633266533,0.883118236472946,0.7562168336673347,0.9964008016032064,9.479429402199458e-05,4.699792280007387e-05,0.00021752602233391359,0.4595,0.0,0.5405,1000,500,redgreen,1234,0.6000000000000001
simulation 1,0.9925292526771895,0.996,0.98,0.996,1.0,1.0,1.0,0.9940068016032064,0.9964008016032064,0.9844927855711423,0.9964008016032064,0.9939945410821645,0.9964008016032064,0.984411623246493,0.9964008016032064,7.878428550975513e-05,4.458295143194846e-05,0.00018475032338756092,0.0,0.0,1.0,1000,500,pf,1234,0.6000000000000001
simulation 1,0.9956663100011026,0.996,0.992,0.996,1.0,1.0,1.0,0.9961689699398798,0.9964008016032064,0.9928176352705411,0.9964008016032064,0.9961681242484971,0.9964008016032064,0.992809619238477,0.9964008016032064,7.476655849495728e-05,4.458197599888081e-05,0.0001683191505435387,0.0,0.0,1.0,1000,500,gumbel,1234,0.7000000000000001
simulation 1,0.9703838390695017,0.9689922480620154,0.929368029739777,0.996,0.9225,1.0,0.9596879063719116,0.9666383046092185,0.97025250501002,0.890685370741483,0.9964008016032064,0.9663680160320643,0.9699639278557114,0.8902044088176353,0.9964008016032064,8.233968404056213e-05,4.654200156437582e-05,0.00019217187191316018,0.155,0.0,0.845,1000,500,inverse,1234,0.7000000000000001
